pid,found,majorcat,school,college_area,sex,age,graduy,gradum,industry,occupation,firm_size2,firm_size,firm_type,job_status,worktime1,worktime2,worktime3,income,health_insur,employ_insur,labor_union,labor_union2,gpa,leave_of_absence,graduate_college,arba,language_train,job_train,certification,birth_area,living_area,faedu,maedu,pre_parent_income,parent_income,military,weight,year,col_code,experience,colcode_2,elite_college,edu,general_highschool,transfer,career_ready,college_satisfaction,stem_major,lnincome,worktime,hourly_income,ln_hourly_income,lnworktime
61934,3,2,2,1,1,27.58333333333333,2013,8,47,1,5,4,1,1,40,3,0,395.98019,1,1,2,,3.3,1,,1,1,2,2,8,1,4,4,5,5,1,30.5899224686764,14,53041000,16.5,530410,1,2,1,0,3,3.8571429,0,5.9813643,43,21415.91,9.9718895,3.7612002
61938,3,2,2,1,2,25.75,2013,8,52,1,4,4,1,1,40,1,0,184.79076,1,1,2,,3.25,1,,1,1,2,1,8,4,4,4,4,4,0,29.439311046345,14,53055000,9,530550,1,2,1,0,0,3.7142856,0,5.219224,41,10481.608,9.2573776,3.713572
61940,1,2,2,5,2,24.58333333333333,2014,2,72,1,4,4,1,1,40,30,1,211.18944,1,1,2,,3.8,2,,1,2,2,1,8,11,4,4,4,4,0,31.5786717261623,14,52002000,17,520020,1,2,1,1,3,3.4285715,0,5.3527555,71,6917.4399,8.8418007,4.2626801
61948,3,2,2,8,2,26.16666666666667,2013,8,85,3,3,3,6,1,40,4,0,168.95155,1,2,1,1,3.9,1,,1,2,1,1,8,8,4,4,5,5,0,31.872379741061,14,53008000,10,530080,1,2,1,0,0,3.5714285,0,5.129612,44,8929.7861,9.0971479,3.7841897
61961,1,2,2,9,2,24,2014,2,84,1,7,7,5,1,40,5,0,166.83966,1,1,1,2,3.5,2,,1,2,2,1,9,8,6,4,2,2,0,32.30444588192,14,51002000,11,510020,1,2,1,0,4,2.7142856,0,5.117033,45,8622.2051,9.0620966,3.8066626
61965,1,2,2,4,2,27.33333333333333,2013,8,71,1,4,4,1,1,40,0,0,263.98679,1,1,2,,3.8,1,,2,2,1,1,4,1,4,4,5,6,0,35.15319751054,14,51020000,11,510200,1,2,1,0,2,3.2857144,0,5.5758991,40,15348.069,9.6387453,3.6888795
61972,3,2,2,4,1,25.75,2014,2,46,7,9,8,1,2,40,0,0,263.98679,1,1,1,3,3.5,1,,1,1,2,1,14,4,4,4,6,4,1,31.8661389110633,14,53115000,37.666668,531150,0,1,1,0,4,4,0,5.5758991,40,15348.069,9.6387453,3.6888795
61977,1,2,2,4,2,25.91666666666667,2013,8,64,1,9,3,1,1,40,0,0,200.62996,1,1,2,,3.8,1,,1,2,2,1,4,4,4,4,5,5,0,36.1323295216246,14,61200000,9,612000,0,1,1,0,4,3.4285715,0,5.3014622,40,11664.532,9.3643084,3.6888795
61979,3,2,2,10,2,23.75,2014,2,42,1,3,3,1,1,40,0,0,190.0705,1,1,2,,2.9,2,,1,2,2,1,8,8,4,4,3,3,0,37.7690836736003,14,53063000,4.3333335,530630,0,1,1,0,5,2.8571429,0,5.247395,40,11050.61,9.3102407,3.6888795
61981,3,2,2,10,1,24,2014,2,84,3,9,9,5,1,40,4,2,211.18944,1,1,2,,3.3,2,,1,1,1,1,1,2,4,4,8,8,1,31.1769989391609,14,53102000,18,531020,0,1,1,0,0,3,0,5.3527555,46,10676.918,9.2758398,3.8286414
61993,3,2,2,11,1,25.58333333333333,2014,2,30,1,7,6,2,1,40,0,0,242.86784,1,1,2,,3.4,1,,1,2,1,1,11,11,3,3,6,6,1,29.0058238788552,14,53129000,24,531290,0,1,1,0,5,3.4285715,0,5.4925175,40,14120.224,9.5553637,3.6888795
61998,3,2,2,17,1,27.66666666666667,2014,2,21,7,9,8,1,2,16,0,0,163.67181,2,2,2,,3.1,1,,1,2,2,1,8,8,4,4,6,6,1,32.6100396417893,14,53130000,11,531301,0,1,1,0,1,3,0,5.0978632,16,23789.508,10.077,2.7725887
62006,1,2,2,2,1,28.08333333333333,2014,2,64,1,9,3,1,1,50,3,0,527.97357,1,1,1,1,4,1,,1,1,1,1,2,2,6,4,8,4,1,31.0237381155348,14,51011000,20,510110,1,2,1,0,3,3.7142856,0,6.2690463,53,23166.896,10.05048,3.9702919
62008,3,2,2,2,1,26.83333333333333,2014,2,13,1,6,6,1,1,50,1,8,219.63701,1,1,2,,3,1,,2,2,2,2,2,2,4,4,5,5,1,31.9427286777734,14,53012000,17,530120,0,1,1,0,1,3.7142856,0,5.3919764,59,8657.3516,9.066164,4.0775375
62030,3,2,2,3,1,27.66666666666667,2014,2,47,7,9,9,2,5,6,0,0,105.59472,2,2,2,,3.8,1,,2,1,2,1,3,3,3,3,5,5,1,33.2433389390819,14,53017000,11,530170,0,1,1,0,5,2.4285715,0,4.6596084,6,40928.188,10.619575,1.7917595
62035,3,2,2,7,1,27,2014,2,31,1,9,9,1,1,40,8,8,351.6304,1,1,1,2,3.5,1,,2,2,2,2,3,7,4,4,4,4,1,30.8356897106931,14,53087000,17,530870,0,1,1,0,0,3.5714285,0,5.8625808,56,14602.592,9.588954,4.0253515
62039,3,2,2,14,1,26.66666666666667,2014,2,46,1,5,1,1,1,40,0,0,211.18944,1,1,2,,3.5,1,,1,2,2,1,15,15,4,3,2,2,1,30.0459777763843,14,53014000,19,530140,0,1,1,0,4,3.5714285,0,5.3527555,40,12278.456,9.4156017,3.6888795
62044,3,2,2,14,2,23.75,2014,2,71,1,2,2,1,1,48,0,0,126.71366,1,1,2,,3.5,2,,1,2,2,1,3,3,4,4,3,3,0,38.3008613046073,14,53031000,7,530310,0,1,1,0,0,3.7142856,0,4.8419299,48,6139.2275,8.7224541,3.871201
62052,1,2,2,15,2,25.83333333333333,2014,2,65,1,9,5,1,1,40,0,0,316.78415,1,1,1,2,3.5,1,,2,1,2,1,15,15,6,6,5,5,0,39.3181824540506,14,51019000,19,510190,0,1,1,0,0,4,0,5.7582207,40,18417.684,9.8210669,3.6888795
62056,3,2,2,15,2,23.91666666666667,2014,2,56,6,1,1,1,1,48,28,4,211.18944,2,2,2,,3.9,2,,2,2,1,1,15,15,4,4,4,4,0,41.3916453444891,14,53009000,7,530090,0,1,1,0,6,3.4285715,0,5.3527555,80,6139.228,8.7224541,4.3820267
62065,3,2,2,12,1,27,2014,2,66,1,8,8,1,1,40,0,0,263.98679,1,1,1,1,3.5,1,,1,2,2,1,15,12,4,4,5,8,1,28.9002932017073,14,53096000,18,530960,0,1,1,0,2,3,0,5.5758991,40,15348.069,9.6387453,3.6888795
62067,1,2,2,13,1,27.58333333333333,2014,2,47,7,2,2,1,1,45,0,0,175.28723,1,1,1,1,3.8,1,,1,2,2,1,11,4,6,6,4,4,1,29.8730835378241,14,51008000,8,510080,0,1,1,0,1,3.4285715,0,5.1664262,45,9058.7715,9.1114883,3.8066626
62069,1,2,2,13,1,25.33333333333333,2014,2,84,3,8,8,5,1,40,2,1,175.28723,1,1,2,,3.9,2,,1,2,2,2,12,8,2,4,3,3,1,27.5014441250726,14,51013000,18,510130,0,1,1,0,4,2.1428571,0,5.1664262,43,9480.1104,9.156951,3.7612002
62075,3,2,2,1,2,26.66666666666667,2014,2,60,1,6,6,1,2,25,0,0,107.70661,1,1,1,3,3.6,1,,1,2,2,2,8,1,4,4,4,4,0,38.6961182953666,14,53016000,2,530160,1,2,1,0,1,1.8571428,0,4.6794109,25,10019.22,9.2122602,3.2188759
62087,3,2,2,1,1,28.16666666666667,2013,8,66,1,2,2,1,1,40,6,2,263.98679,1,1,2,,3.7,1,,1,2,2,1,8,8,3,2,4,5,1,35.927158303754,14,53055000,9,530550,1,2,1,0,0,2.8571429,0,5.5758991,48,12790.058,9.4564238,3.871201
62090,3,2,2,1,1,27.75,2014,2,64,1,8,3,1,1,40,10,0,219.63701,1,1,2,,4.2,1,,1,2,2,1,1,8,6,6,6,6,1,38.6997192123153,14,53070000,21,530700,1,2,1,0,2,2.5714285,0,5.3919764,50,10215.675,9.231679,3.9120231
62093,3,2,2,1,2,25.91666666666667,2014,2,41,1,9,8,1,1,40,2,0,263.98679,1,1,2,,4.3,1,,1,1,2,1,1,15,6,6,6,6,0,40.1498311200361,14,53075000,24,530750,1,2,1,0,1,4.1428571,0,5.5758991,42,14617.209,9.5899544,3.7376697
62098,3,2,2,1,1,26.91666666666667,2014,2,66,1,4,3,1,1,40,1,1,211.18944,1,1,2,,3,2,,1,2,2,1,8,8,6,6,8,8,1,39.6214585770447,14,53120000,9,531200,1,2,1,1,0,3.2857144,0,5.3527555,42,11693.768,9.3668118,3.7376697
